Owner,Latitude,Longitude
Company2,45.65027235,-122.5274516
Company2,45.63996315,-122.5861367
Company2,45.74296135,-122.5306527
Company4,45.6182392,-122.365984
Company2,45.7600165,-122.7130589
Company2,45.59849332,-122.3167057
Company4,45.94809747,-122.5451162
Company2,45.59251809,-122.3166435
Company2,45.86606893,-122.6760943
Company3,45.76756607,-122.5373313
Company2,45.76756607,-122.5373313
Company2,45.68651454,-122.5009962
Company2,45.80659939,-122.7132172
Company2,45.6706646,-122.6943339
Company2,45.58714125,-122.3536859
Company7,45.9159681,-122.4452067
Company2,45.73759111,-122.4856807
Company2,45.65012126,-122.5205423
Company2,45.74434924,-122.6204136
Company2,45.7089258,-122.6539984
Company2,45.69361196,-122.5619054
Company2,45.59681131,-122.4961912
Company4,45.58287909,-122.3658752
Company2,45.68633071,-122.6797793
Company4,45.59271098,-122.3303041
Company2,45.62423508,-122.5744595
Company5,45.63748469,-122.6353458
Company4,45.61334068,-122.4069791
Company4,45.60968811,-122.4716328
Company2,45.60968811,-122.4716328
Company2,45.7000689,-122.6843939
Company2,45.79552224,-122.5305274
Company2,45.6778809,-122.5651426
Company2,45.63309507,-122.6409075
Company2,45.62892349,-122.3920586
Company2,45.58186124,-122.3474557
Company4,45.58186124,-122.3474557
Company2,45.7561132,-122.6809145
Company4,45.64097215,-122.413407
Company4,45.58905616,-122.3670679
Company2,45.71792664,-122.5519313
Company4,45.58687896,-122.3018752
Company2,45.58713652,-122.4158919
Company4,45.58713652,-122.4158919
Company2,45.66761865,-122.6611066
Company2,45.67062591,-122.6559759
Company5,45.67472388,-122.5992928
Company2,45.67472388,-122.5992928
Company2,45.69592473,-122.6688843
Company4,45.91356602,-122.7361528
Company2,45.64288688,-122.6613517
Company7,45.90858528,-122.445626
Company2,45.62605844,-122.6384673
Company2,45.75210309,-122.7134757
Company2,45.61119881,-122.5934616
Company8,45.61686033,-122.5171461
Company1,45.61686033,-122.5171461
Company4,45.59166174,-122.3361895
